Number,Type,Congress,Title,Url
164,S,117,Advancing Education on Biosimilars Act of 2021,https://api.congress.gov/v3/bill/117/s/164?format=xml
7132,HR,117,Safe Connections Act of 2022,https://api.congress.gov/v3/bill/117/hr/7132?format=xml
1868,HR,117,"To prevent across-the-board direct spending cuts, and for other purposes.",https://api.congress.gov/v3/bill/117/hr/1868?format=xml
2472,HR,117,"To designate the facility of the United States Postal Service located at 82422 Cadiz Jewett Road in Cadiz, Ohio, as the ""John Armor Bingham Post Office"".",https://api.congress.gov/v3/bill/117/hr/2472?format=xml
5066,S,117,Don Young Recognition Act,https://api.congress.gov/v3/bill/117/s/5066?format=xml
4104,S,117,Hualapai Tribe Water Rights Settlement Act of 2022,https://api.congress.gov/v3/bill/117/s/4104?format=xml
3905,S,117,Preventing Organizational Conflicts of Interest in Federal Acquisition Act,https://api.congress.gov/v3/bill/117/s/3905?format=xml
3522,S,117,Ukraine Democracy Defense Lend-Lease Act of 2022,https://api.congress.gov/v3/bill/117/s/3522?format=xml
1687,S,117,Small Business Cyber Training Act of 2022,https://api.congress.gov/v3/bill/117/s/1687?format=xml
1941,S,117,MAPS Act of 2021,https://api.congress.gov/v3/bill/117/s/1941?format=xml
558,S,117,FLOODS Act,https://api.congress.gov/v3/bill/117/s/558?format=xml
452,S,117,Willie O'Ree Congressional Gold Medal Act,https://api.congress.gov/v3/bill/117/s/452?format=xml
3113,HR,117,Modernizing Access to Our Public Land Act,https://api.congress.gov/v3/bill/117/hr/3113?format=xml
1652,HR,117,VOCA Fix to Sustain the Crime Victims Fund Act of 2021,https://api.congress.gov/v3/bill/117/hr/1652?format=xml
6386,HR,117,"To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the ""Veterans of Iraq and Afghanistan Memorial Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/6386?format=xml
5085,HR,117,Emergency Repatriation Assistance for Returning Americans Act,https://api.congress.gov/v3/bill/117/hr/5085?format=xml
796,S,117,Protecting Moms Who Served Act of 2021,https://api.congress.gov/v3/bill/117/s/796?format=xml
7352,HR,117,PPP and Bank Fraud Enforcement Harmonization Act of 2022,https://api.congress.gov/v3/bill/117/hr/7352?format=xml
7334,HR,117,COVID-19 EIDL Fraud Statute of Limitations Act of 2022,https://api.congress.gov/v3/bill/117/hr/7334?format=xml
3580,S,117,Ocean Shipping Reform Act of 2022,https://api.congress.gov/v3/bill/117/s/3580?format=xml
7925,HR,117,"To designate the Department of Veterans Affairs community-based outpatient clinic located in Palm Desert, California, as the ""Sy Kaplan VA Clinic"".",https://api.congress.gov/v3/bill/117/hr/7925?format=xml
233,S,117,Donna M. Doss Memorial Act of 2021,https://api.congress.gov/v3/bill/117/s/233?format=xml
1294,S,117,Protecting American Intellectual Property Act of 2022,https://api.congress.gov/v3/bill/117/s/1294?format=xml
5329,S,117,"A bill to amend the Bill Emerson Good Samaritan Food Donation Act to improve the program, and for other purposes.",https://api.congress.gov/v3/bill/117/s/5329?format=xml
8454,HR,117,Medical Marijuana and Cannabidiol Research Expansion Act,https://api.congress.gov/v3/bill/117/hr/8454?format=xml
5168,S,117,Energy Security and Lightering Independence Act of 2022,https://api.congress.gov/v3/bill/117/s/5168?format=xml
1942,S,117,National Heritage Area Act,https://api.congress.gov/v3/bill/117/s/1942?format=xml
6899,HR,117,Russia and Belarus SDR Exchange Prohibition Act of 2022,https://api.congress.gov/v3/bill/117/hr/6899?format=xml
8404,HR,117,Respect for Marriage Act,https://api.congress.gov/v3/bill/117/hr/8404?format=xml
4900,S,117,SBIR and STTR Extension Act of 2022,https://api.congress.gov/v3/bill/117/s/4900?format=xml
3969,S,117,PAVA Program Inclusion Act,https://api.congress.gov/v3/bill/117/s/3969?format=xml
4373,HR,117,"Further Additional Continuing Appropriations and Extensions Act, 2023",https://api.congress.gov/v3/bill/117/hr/4373?format=xml
5376,HR,117,Inflation Reduction Act of 2022,https://api.congress.gov/v3/bill/117/hr/5376?format=xml
6943,HR,117,Public Safety Officer Support Act of 2022,https://api.congress.gov/v3/bill/117/hr/6943?format=xml
4346,HR,117,CHIPS and Science Act,https://api.congress.gov/v3/bill/117/hr/4346?format=xml
1842,HR,117,Harriet Tubman Bicentennial Commemorative Coin Act,https://api.congress.gov/v3/bill/117/hr/1842?format=xml
3359,HR,117,Homicide Victims' Families' Rights Act of 2021,https://api.congress.gov/v3/bill/117/hr/3359?format=xml
3373,S,117,Honoring our PACT Act of 2022,https://api.congress.gov/v3/bill/117/s/3373?format=xml
4458,S,117,Ensuring the Best Schools for Veterans Act of 2022,https://api.congress.gov/v3/bill/117/s/4458?format=xml
2687,S,117,Strengthening Oversight for Veterans Act of 2021,https://api.congress.gov/v3/bill/117/s/2687?format=xml
7776,HR,117,James M. Inhofe National Defense Authorization Act for Fiscal Year 2023,https://api.congress.gov/v3/bill/117/hr/7776?format=xml
3470,S,117,End Human Trafficking in Government Contracts Act of 2022,https://api.congress.gov/v3/bill/117/s/3470?format=xml
2617,HR,117,"Consolidated Appropriations Act, 2023",https://api.congress.gov/v3/bill/117/hr/2617?format=xml
6833,HR,117,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023",https://api.congress.gov/v3/bill/117/hr/6833?format=xml
3157,S,117,Bridging the Gap for New Americans Act,https://api.congress.gov/v3/bill/117/s/3157?format=xml
1095,S,117,Colonel John M. McHugh Tuition Fairness for Survivors Act of 2021,https://api.congress.gov/v3/bill/117/s/1095?format=xml
3377,S,117,Capitol Police Emergency Assistance Act of 2021,https://api.congress.gov/v3/bill/117/s/3377?format=xml
7939,HR,117,Veterans Auto and Education Improvement Act of 2022,https://api.congress.gov/v3/bill/117/hr/7939?format=xml
6604,HR,117,Veterans Eligible to Transfer School (VETS) Credit Act,https://api.congress.gov/v3/bill/117/hr/6604?format=xml
1437,HR,117,"Further Continuing Appropriations and Extensions Act, 2023",https://api.congress.gov/v3/bill/117/hr/1437?format=xml
3519,S,117,Butterfield Overland National Historic Trail Designation Act,https://api.congress.gov/v3/bill/117/s/3519?format=xml
5681,HR,117,Shadow Wolves Enhancement Act,https://api.congress.gov/v3/bill/117/hr/5681?format=xml
3294,S,117,A bill to obtain and direct the placement in the Capitol or on the Capitol Grounds of a statue to honor Associate Justice of the Supreme Court of the United States Sandra Day O'Connor and a statue to honor Associate Justice of the Supreme Court of the United States Ruth Bader Ginsburg.,https://api.congress.gov/v3/bill/117/s/3294?format=xml
5229,S,117,"A bill to direct the Joint Committee of Congress on the Library to remove the bust of Roger Brooke Taney in the Old Supreme Court Chamber of the Capitol and to obtain a bust of Thurgood Marshall for installation in the Capitol or on the Capitol Grounds, and for other purposes.",https://api.congress.gov/v3/bill/117/s/5229?format=xml
2523,HR,117,THRIVE Act,https://api.congress.gov/v3/bill/117/hr/2523?format=xml
270,S,117,Brown v. Board of Education National Historical Park Expansion and Redesignation Act,https://api.congress.gov/v3/bill/117/s/270?format=xml
2520,S,117,State and Local Government Cybersecurity Act of 2021,https://api.congress.gov/v3/bill/117/s/2520?format=xml
2089,S,117,Keep Kids Fed Act of 2022,https://api.congress.gov/v3/bill/117/s/2089?format=xml
3773,S,117,A bill to authorize leases of up to 99 years for land held in trust for the Confederated Tribes of the Chehalis Reservation.,https://api.congress.gov/v3/bill/117/s/3773?format=xml
5016,S,117,Colonel Mary Louise Rasmuson Campus of the Alaska VA Healthcare System Act of 2022,https://api.congress.gov/v3/bill/117/s/5016?format=xml
4978,S,117,State Offices of Rural Health Program Reauthorization Act of 2022,https://api.congress.gov/v3/bill/117/s/4978?format=xml
4949,S,117,National Cemeteries Preservation and Protection Act of 2022,https://api.congress.gov/v3/bill/117/s/4949?format=xml
4926,S,117,Respect for Child Survivors Act,https://api.congress.gov/v3/bill/117/s/4926?format=xml
4439,S,117,Katimiîn and Ameekyáaraam Sacred Lands Act,https://api.congress.gov/v3/bill/117/s/4439?format=xml
4411,S,117,"A bill to designate the facility of the United States Postal Service located at 5302 Galveston Road in Houston, Texas, as the ""Vanessa Guillen Post Office Building"".",https://api.congress.gov/v3/bill/117/s/4411?format=xml
4240,S,117,Justice for Victims of War Crimes Act,https://api.congress.gov/v3/bill/117/s/4240?format=xml
4120,S,117,Childhood Cancer STAR Reauthorization Act,https://api.congress.gov/v3/bill/117/s/4120?format=xml
3949,S,117,Trafficking Victims Prevention and Protection Reauthorization Act of 2022,https://api.congress.gov/v3/bill/117/s/3949?format=xml
3946,S,117,Abolish Trafficking Reauthorization Act of 2022,https://api.congress.gov/v3/bill/117/s/3946?format=xml
1402,S,117,Durbin Feeling Native American Languages Act of 2022,https://api.congress.gov/v3/bill/117/s/1402?format=xml
