Number,Type,Congress,Title,Url,Summary,Committees,Topics,Related Bills,Sponsor,Subject,Text Access
141,S,118,Senator Elizabeth Dole 21st Century Veterans Healthcare and Benefits Improvement Act,https://api.congress.gov/v3/bill/118/s/141?format=xml,No summary available,"[""Veterans' Affairs Committee""]","['Adult day care', 'Cardiovascular and respiratory health', 'Congressional oversight', 'Disability and paralysis', 'Health personnel', 'Health programs administration and funding', 'Housing for the elderly and disabled', 'Neurological disorders', 'Social security and elderly assistance', ""Veterans' medical care""]","https://api.congress.gov/v3/bill/118/hr/542?format=xml, https://api.congress.gov/v3/bill/118/hr/8371?format=xml","Sen. Moran, Jerry [R-KS]",Armed Forces and National Security,https://www.congress.gov/118/bills/s141/BILLS-118s141enr.xml
656,S,118,Veteran Improvement Commercial Driver License Act of 2023,https://api.congress.gov/v3/bill/118/s/656?format=xml,"<p><strong>Veteran Improvement Commercial Driver License Act of 2023</strong></p><p>This act authorizes approval of certain commercial driver education programs for purposes of Department of Veterans Affairs (VA) educational assistance if the programs meet specified requirements. Under current law, the VA may not approve enrollment of a veteran in courses for programs that do not lead to a standard degree that are offered at a new branch (i.e., a branch that has been operating for less than 2 years) of an educational institution.</p><p>Under the bill, a commercial driver education program offered at a new branch of an educational institution may be approved if it is appropriately licensed and uses the same curriculum as a commercial driver education program offered by the educational institution at another location that is already approved for purposes of VA educational assistance.</p><p>The educational institution must submit a report demonstrating the curriculum at the new branch is the same as the curriculum at the primary location in order to be exempt from the current prohibition against course approval at new branches.</p>","[""Veterans' Affairs Committee""]","['Licensing and registrations', 'Motor carriers', ""Veterans' education, employment, rehabilitation""]",https://api.congress.gov/v3/bill/118/hr/2830?format=xml,"Sen. Fischer, Deb [R-NE]",Armed Forces and National Security,https://www.congress.gov/118/bills/s656/BILLS-118s656enr.xml
3764,S,118,United States Commission on International Religious Freedom Reauthorization Act of 2024,https://api.congress.gov/v3/bill/118/s/3764?format=xml,"<p><strong>United States Commission on International Religious Freedom Reauthorization Act of 2024</strong></p><p>This act reauthorizes the U.S. Commission on International Religious Freedom (USCIRF) through FY2026. USCIRF is an independent federal commission that monitors threats to international religious freedom, reviews related U.S. government policies, and makes policy recommendations.&nbsp;</p>",['Foreign Relations Committee'],"['Human rights', 'International organizations and cooperation', 'Religion', 'U.S. Commission on International Religious Freedom']",https://api.congress.gov/v3/bill/118/hr/7025?format=xml,"Sen. Rubio, Marco [R-FL]",International Affairs,https://www.congress.gov/118/bills/s3764/BILLS-118s3764enr.xml
3998,S,118,Federal Judiciary Stabilization Act of 2024,https://api.congress.gov/v3/bill/118/s/3998?format=xml,"<p><strong>Federal Judiciary Stabilization Act of 2024</strong></p><p>This act converts certain temporary district court judgeships to permanent judgeships in specified judicial districts in Alabama, Arizona, California, Florida, Hawaii,&nbsp;Kansas, Missouri, New Mexico, North Carolina, and Texas.</p>",['Judiciary Committee'],"['Alabama', 'Arizona', 'California', 'Federal district courts', 'Florida', 'Hawaii', 'Judges', 'Kansas', 'Missouri', 'New Mexico', 'North Carolina', 'Texas']","https://api.congress.gov/v3/bill/118/s/1878?format=xml, https://api.congress.gov/v3/bill/118/hr/7747?format=xml","Sen. Cruz, Ted [R-TX]",Law,https://www.congress.gov/118/bills/s3998/BILLS-118s3998enr.xml
6492,HR,118,EXPLORE Act,https://api.congress.gov/v3/bill/118/hr/6492?format=xml,No summary available,"['Agriculture Committee', 'Forestry and Horticulture Subcommittee', 'Commodity Markets, Digital Assets, and Rural Development Subcommittee', ""Veterans' Affairs Committee"", 'Natural Resources Committee', 'Federal Lands Subcommittee']","['Advisory bodies', 'Aquatic ecology', 'Congressional oversight', 'Digital media', 'Disability and health-based discrimination', 'Environmental assessment, monitoring, research', 'Firearms and explosives', 'Geography and mapping', 'Government information and archives', 'Government studies and investigations', 'Housing and community development funding', 'Intergovernmental relations', 'Internet, web applications, social media', 'Land use and conservation', 'Licensing and registrations', 'Marine and inland water transportation', 'Motor vehicles', 'Outdoor recreation', 'Parks, recreation areas, trails']","https://api.congress.gov/v3/bill/118/hr/1614?format=xml, https://api.congress.gov/v3/bill/118/hr/3107?format=xml, https://api.congress.gov/v3/bill/118/hr/5919?format=xml, https://api.congress.gov/v3/bill/118/s/2018?format=xml, https://api.congress.gov/v3/bill/118/s/3568?format=xml, https://api.congress.gov/v3/bill/118/hr/3448?format=xml, https://api.congress.gov/v3/bill/118/hr/1576?format=xml, https://api.congress.gov/v3/bill/118/hr/6342?format=xml","Rep. Westerman, Bruce [R-AR-4]",Public Lands and Natural Resources,https://www.congress.gov/118/bills/hr6492/BILLS-118hr6492enr.xml
7,HJRES,118,"Relating to a national emergency declared by the President on March 13, 2020.",https://api.congress.gov/v3/bill/118/hjres/7?format=xml,"<p>This joint resolution terminates the national emergency concerning COVID-19 declared by the President on March 13, 2020.</p>","['Finance Committee', 'Transportation and Infrastructure Committee', 'Economic Development, Public Buildings, and Emergency Management Subcommittee']","['Cardiovascular and respiratory health', 'Emergency medical services and trauma care', 'Health programs administration and funding', 'Infectious and parasitic diseases', 'Presidents and presidential powers, Vice Presidents', 'War and emergency powers']",https://api.congress.gov/v3/bill/118/hres/75?format=xml,"Rep. Gosar, Paul A. [R-AZ-9]",Emergency Management,https://www.congress.gov/118/bills/hjres7/BILLS-118hjres7enr.xml
474,S,118,REPORT Act,https://api.congress.gov/v3/bill/118/s/474?format=xml,"<p><strong>Revising Existing Procedures On Reporting via Technology Act or the REPORT Act</strong></p><p>This act makes changes to the federal framework governing the reporting of crimes involving the online&nbsp;sexual&nbsp;exploitation&nbsp;of children.</p><p>Specifically, the act makes changes to the requirements for electronic communication service providers and remote computing service providers (providers) to submit reports to the National Center for Missing and Exploited Children (NCMEC) when they become aware of violations involving the online sexual exploitation of children.</p><p>Among the changes, the act (1) increases the amount of time—from 90 days to 1 year—that a provider must preserve the contents of a report, and&nbsp;(2)&nbsp;extends the requirement for providers to report apparent&nbsp;violations involving the sexual&nbsp;exploitation of children to instances involving child sex trafficking or coercion or enticement of a minor to engage in prostitution or any other illegal sexual activity.</p><p>Additionally, the act increases the maximum fines for providers who knowingly and willfully fail to submit reports.</p><p>The act also (1) limits the liability of vendors that contract with NCMEC for civil claims or criminal charges arising from storing and transferring visual depictions of child sexual abuse material (i.e., child pornography), and (2) requires the vendors to comply with certain cybersecurity requirements.</p><p>Finally, the act&nbsp;limits the liability of minors, or persons acting on behalf of minors, for civil claims or criminal charges arising from&nbsp;reporting to&nbsp;NCMEC's CyberTipline apparent violations involving child sexual abuse material in which the child is depicted, including a copy of the visual depiction of the minor.&nbsp;</p>",['Judiciary Committee'],"['Civil actions and liability', 'Crimes against children', 'Criminal justice information and records', 'Domestic violence and child abuse', 'Internet, web applications, social media', 'Pornography']","https://api.congress.gov/v3/bill/118/hr/6246?format=xml, https://api.congress.gov/v3/bill/118/hr/5082?format=xml","Sen. Blackburn, Marsha [R-TN]",Crime and Law Enforcement,https://www.congress.gov/118/bills/s474/BILLS-118s474enr.xml
1858,S,118,Disaster Assistance Deadlines Alignment Act,https://api.congress.gov/v3/bill/118/s/1858?format=xml,"<p><strong>Disaster Assistance Deadlines Alignment Act</strong></p><p>This act&nbsp;modifies the deadline for applying for disaster unemployment assistance.</p><p>Specifically, the act matches the deadline for an individual seeking unemployment assistance for a major disaster under the Robert T. Stafford Disaster Relief and Emergency Assistance Act to the application deadline for individuals and households seeking other assistance under that act.</p><p>The act authorizes an extension of that deadline if the individual (1) has good cause for the late submission, and (2) submits the application during the period when disaster assistance is being provided.</p>",['Homeland Security and Governmental Affairs Committee'],"['Disaster relief and insurance', 'Unemployment']",https://api.congress.gov/v3/bill/118/s/1858?format=xml,"Sen. Peters, Gary C. [D-MI]",Emergency Management,https://www.congress.gov/118/bills/s1858/BILLS-118s1858enr.xml
5861,HR,118,BRIDGE for Workers Act,https://api.congress.gov/v3/bill/118/hr/5861?format=xml,"<p><strong>Building on Reemployment Improvements to Deliver Good Employment for Workers Act or the BRIDGE for Workers Act</strong></p><p>This act permanently expands the allowable purposes for certain Department of Labor grants to states for reemployment services and eligibility assessments. Specifically, the act permanently allows these grants to be used to fund reemployment services and eligibility assessments for all claimants for unemployment compensation.</p><p>(Under the current statute, the grants may only be used to provide such services to a subset of claimants who have been identified by the state as likely to exhaust unemployment benefits and need job search assistance to become employed. However, in recent years, annual appropriations acts have allowed the grants to be used for all claimants for unemployment compensation. This act makes this authority permanent.)&nbsp;&nbsp;&nbsp;</p>","['Finance Committee', 'Ways and Means Committee']","['Employment and training programs', 'Unemployment']",https://api.congress.gov/v3/bill/118/s/3745?format=xml,"Rep. LaHood, Darin [R-IL-16]",Labor and Employment,https://www.congress.gov/118/bills/hr5861/BILLS-118hr5861enr.xml
5103,HR,118,FISHES Act,https://api.congress.gov/v3/bill/118/hr/5103?format=xml,No summary available,"['Commerce, Science, and Transportation Committee', 'Natural Resources Committee', 'Water, Wildlife and Fisheries Subcommittee']","['Disaster relief and insurance', 'Government information and archives', 'Marine and coastal resources, fisheries', 'Office of Management and Budget (OMB)', 'State and local finance']",https://api.congress.gov/v3/bill/118/s/4262?format=xml,"Rep. Donalds, Byron [R-FL-19]",Public Lands and Natural Resources,https://www.congress.gov/118/bills/hr5103/BILLS-118hr5103enr.xml
