Number,Type,Congress,Title,Url,Sponsor,Subject,Text Access
1466,S,117,Saline Lake Ecosystems in the Great Basin States Program Act of 2022,https://api.congress.gov/v3/bill/117/s/1466?format=xml,"Sen. Merkley, Jeff [D-OR]",Environmental Protection,https://www.congress.gov/117/bills/s1466/BILLS-117s1466enr.xml
5973,HR,117,Great Lakes Fish and Wildlife Restoration Reauthorization Act of 2022,https://api.congress.gov/v3/bill/117/hr/5973?format=xml,"Rep. Dingell, Debbie [D-MI-12]",Environmental Protection,https://www.congress.gov/117/bills/hr5973/BILLS-117hr5973enr.xml
3451,S,117,"A bill to include certain computer-related projects in the Federal permitting program under title XLI of the FAST Act, and for other purposes.",https://api.congress.gov/v3/bill/117/s/3451?format=xml,"Sen. Hagerty, Bill [R-TN]",Environmental Protection,https://www.congress.gov/117/bills/s3451/BILLS-117s3451enr.xml
66,S,117,South Florida Clean Coastal Waters Act of 2021,https://api.congress.gov/v3/bill/117/s/66?format=xml,"Sen. Rubio, Marco [R-FL]",Environmental Protection,https://www.congress.gov/117/bills/s66/BILLS-117s66enr.xml
14,SJRES,117,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources Review"".",https://api.congress.gov/v3/bill/117/sjres/14?format=xml,"Sen. Heinrich, Martin [D-NM]",Environmental Protection,https://www.congress.gov/117/bills/sjres14/BILLS-117sjres14enr.xml
3791,S,118,America’s Conservation Enhancement Reauthorization Act of 2024,https://api.congress.gov/v3/bill/118/s/3791?format=xml,"Sen. Carper, Thomas R. [D-DE]",Environmental Protection,https://www.congress.gov/118/bills/s3791/BILLS-118s3791enr.xml
2781,S,118,Good Samaritan Remediation of Abandoned Hardrock Mines Act of 2024,https://api.congress.gov/v3/bill/118/s/2781?format=xml,"Sen. Heinrich, Martin [D-NM]",Environmental Protection,https://www.congress.gov/118/bills/s2781/BILLS-118s2781enr.xml
50,S,118,Pensacola and Perdido Bays Estuary of National Significance Act of 2024,https://api.congress.gov/v3/bill/118/s/50?format=xml,"Sen. Rubio, Marco [R-FL]",Environmental Protection,https://www.congress.gov/118/bills/s50/BILLS-118s50enr.xml
2950,HR,118,Coastal Habitat Conservation Act of 2023,https://api.congress.gov/v3/bill/118/hr/2950?format=xml,"Rep. Huffman, Jared [D-CA-2]",Environmental Protection,https://www.congress.gov/118/bills/hr2950/BILLS-118hr2950enr.xml
2228,S,118,Building Chips in America Act of 2023,https://api.congress.gov/v3/bill/118/s/2228?format=xml,"Sen. Kelly, Mark [D-AZ]",Environmental Protection,https://www.congress.gov/118/bills/s2228/BILLS-118s2228enr.xml
612,S,118,Lake Tahoe Restoration Reauthorization Act,https://api.congress.gov/v3/bill/118/s/612?format=xml,"Sen. Cortez Masto, Catherine [D-NV]",Environmental Protection,https://www.congress.gov/118/bills/s612/BILLS-118s612enr.xml
