Number,Type,Congress,Title,Url,Sponsor,Subject,Text Access
558,S,117,FLOODS Act,https://api.congress.gov/v3/bill/117/s/558?format=xml,"Sen. Wicker, Roger F. [R-MS]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/s558/BILLS-117s558enr.xml
3113,HR,117,Modernizing Access to Our Public Land Act,https://api.congress.gov/v3/bill/117/hr/3113?format=xml,"Rep. Moore, Blake D. [R-UT-1]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/hr3113/BILLS-117hr3113enr.xml
1942,S,117,National Heritage Area Act,https://api.congress.gov/v3/bill/117/s/1942?format=xml,"Sen. Stabenow, Debbie [D-MI]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/s1942/BILLS-117s1942enr.xml
3519,S,117,Butterfield Overland National Historic Trail Designation Act,https://api.congress.gov/v3/bill/117/s/3519?format=xml,"Sen. Boozman, John [R-AR]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/s3519/BILLS-117s3519enr.xml
270,S,117,Brown v. Board of Education National Historical Park Expansion and Redesignation Act,https://api.congress.gov/v3/bill/117/s/270?format=xml,"Sen. Coons, Christopher A. [D-DE]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/s270/BILLS-117s270enr.xml
1154,HR,117,Great Dismal Swamp National Heritage Area Act,https://api.congress.gov/v3/bill/117/hr/1154?format=xml,"Rep. McEachin, A. Donald [D-VA-4]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/hr1154/BILLS-117hr1154enr.xml
6427,HR,117,Red River National Wildlife Refuge Boundary Modification Act,https://api.congress.gov/v3/bill/117/hr/6427?format=xml,"Rep. Johnson, Mike [R-LA-4]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/hr6427/BILLS-117hr6427enr.xml
2490,S,117,Blackwell School National Historic Site Act,https://api.congress.gov/v3/bill/117/s/2490?format=xml,"Sen. Cornyn, John [R-TX]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/s2490/BILLS-117s2490enr.xml
497,S,117,American Fisheries Advisory Committee Act,https://api.congress.gov/v3/bill/117/s/497?format=xml,"Sen. Sullivan, Dan [R-AK]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/s497/BILLS-117s497enr.xml
3197,HR,117,Save the Liberty Theatre Act of 2021,https://api.congress.gov/v3/bill/117/hr/3197?format=xml,"Rep. Johnson, Mike [R-LA-4]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/hr3197/BILLS-117hr3197enr.xml
2497,HR,117,Amache National Historic Site Act,https://api.congress.gov/v3/bill/117/hr/2497?format=xml,"Rep. Neguse, Joe [D-CO-2]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/hr2497/BILLS-117hr2497enr.xml
