Number,Type,Congress,Title,Url,Sponsor,Subject,Text Access,Summary,Committees,Topics,Related Bills
164,S,117,Advancing Education on Biosimilars Act of 2021,https://api.congress.gov/v3/bill/117/s/164?format=xml,"Sen. Hassan, Margaret Wood [D-NH]",Health,https://www.congress.gov/117/bills/s164/BILLS-117s164enr.xml,"<p><b>Advancing Education on Biosimilars Act of 2021</b></p> <p>This bill requires the Food and Drug Administration (FDA) to advance education and awareness among health care providers about biological products as appropriate, including by developing or improving continuing education programs that address the prescribing of biological products and biosimilars. (A biosimilar is a biological product that is highly similar to an FDA-approved reference biological product and has no clinically meaningful differences from that reference product.)<br> <br> The FDA may also maintain and operate a website to provide educational materials about biological products.</p>","['Health, Education, Labor, and Pensions Committee']","['Drug safety, medical device, and laboratory regulation', 'Government information and archives', 'Health personnel', 'Licensing and registrations', 'Medical education', 'Prescription drugs']","['https://api.congress.gov/v3/bill/117/hr/19?format=xml', 'https://api.congress.gov/v3/bill/117/hr/1873?format=xml']"
7132,HR,117,Safe Connections Act of 2022,https://api.congress.gov/v3/bill/117/hr/7132?format=xml,"Rep. Kuster, Ann M. [D-NH-2]","Science, Technology, Communications",https://www.congress.gov/117/bills/hr7132/BILLS-117hr7132enr.xml,"<p><strong>Safe Connections Act of 2022</strong></p> <p>This act establishes requirements concerning access to communication services for survivors of domestic violence, human trafficking, and related harms.</p> <p>At a survivor's request, a mobile service provider must separate from a shared mobile service contract the survivor's line (and the line of any individual in the survivor's care) from the abuser's line unless separation is operationally or technologically infeasible. A survivor requesting this must (1) verify through appropriate documentation that an individual under the contract committed or allegedly committed an act of domestic violence, trafficking, or a related criminal act against the survivor; and (2) assume financial responsibility for services after a line separation.</p> <p>A provider may not charge fees or impose other requirements on such requests. Additionally, a provider must</p> <ul> <li>separate the line within two business days of receiving a request;</li> <li>allow requests to be made remotely (if feasible);</li> <li>meet conditions related to confidentiality of, disposal of, and other matters concerning communications about requests; and</li> <li>make information about the process for requests available through consumer-facing communications (e.g., websites).</li> </ul> <p>The act (1) provides liability protection for providers' acts or omissions undertaken to comply with such requests, and (2) requires the Federal Communications Commission (FCC) to adopt rules for these requests.</p> <p>Additionally, the FCC must (1) expand access to federally subsidized communication services for survivors facing financial hardship, and (2) evaluate this expanded access.</p> <p>The FCC must also consider rules requiring communication service providers to omit from consumer-facing logs calls and texts to hotlines for domestic violence and similar issues while retaining internal records.</p>","['Energy and Commerce Committee', 'Communications and Technology Subcommittee']","['Administrative law and regulatory procedures', 'Domestic violence and child abuse', 'Human trafficking', 'Internet, web applications, social media', 'Right of privacy', 'Telephone and wireless communication']",['https://api.congress.gov/v3/bill/117/hres/1254?format=xml']
1868,HR,117,"To prevent across-the-board direct spending cuts, and for other purposes.",https://api.congress.gov/v3/bill/117/hr/1868?format=xml,"Rep. Yarmuth, John A. [D-KY-3]",Health,https://www.congress.gov/117/bills/hr1868/BILLS-117hr1868enr.xml,"<p>This bill makes several budgetary and technical changes to provisions under Medicare and Medicaid.</p> <p> The bill continues to exempt Medicare from sequestration until December 31, 2021. (Sequestration is a process of automatic, usually across-the-board spending reductions under which budgetary resources are permanently cancelled to enforce specific budget policy goals.) </p> <p>The bill also specifically</p> <ul> <li>applies certain modified payment limits to rural health clinics that temporarily enrolled in Medicare during the public health emergency relating to COVID-19 (i.e., coronavirus disease 2019) or that applied to enroll by December 31, 2020; and</li> <li> preserves higher Medicaid disproportionate-share hospital payments for public hospitals in California under forthcoming payment methodology changes.</li> </ul>","['Energy and Commerce Committee', 'Health Subcommittee', 'Ways and Means Committee', 'Budget Committee']","['Budget deficits and national debt', 'Budget process', 'Cardiovascular and respiratory health', 'Child health', 'Emergency medical services and trauma care', 'Health care costs and insurance', 'Health facilities and institutions', 'Health programs administration and funding', 'Hospital care', 'Infectious and parasitic diseases', 'Medicaid', 'Medicare', 'Poverty and welfare assistance', 'Rural conditions and development', 'Unemployment']","['https://api.congress.gov/v3/bill/117/hres/233?format=xml', 'https://api.congress.gov/v3/bill/117/s/935?format=xml', 'https://api.congress.gov/v3/bill/117/hr/1885?format=xml']"
2472,HR,117,"To designate the facility of the United States Postal Service located at 82422 Cadiz Jewett Road in Cadiz, Ohio, as the ""John Armor Bingham Post Office"".",https://api.congress.gov/v3/bill/117/hr/2472?format=xml,"Rep. Johnson, Bill [R-OH-6]",Government Operations and Politics,https://www.congress.gov/117/bills/hr2472/BILLS-117hr2472enr.xml,"<p>This act designates the facility of the United States Postal Service located at 82422 Cadiz Jewett Road in Cadiz, Ohio, as the John Armor Bingham Post Office.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Federal officials', 'House of Representatives', 'Members of Congress', 'Ohio', 'Postal service']",[]
5066,S,117,Don Young Recognition Act,https://api.congress.gov/v3/bill/117/s/5066?format=xml,"Sen. Murkowski, Lisa [R-AK]",Government Operations and Politics,https://www.congress.gov/117/bills/s5066/BILLS-117s5066enr.xml,"<p><strong>Don Young Recognition Act</strong></p> <p>This act designates (1) the volcanic peak known as Mount Cerberus as Mount Young; (2) the Jobs Corps center located at 800 East Lynn Martin Drive in Palmer, Alaska, as the Don Young Alaska Job Corps Center; and (3) the federal office building located at 101 12th Avenue in Fairbanks, Alaska, as the Don Young Federal Office Building.</p>",['Environment and Public Works Committee'],"['Alaska', 'Congressional tributes', 'Employment and training programs', 'Geography and mapping', 'Government buildings, facilities, and property', 'Members of Congress', 'Monuments and memorials', 'Parks, recreation areas, trails', ""Veterans' organizations and recognition""]",[]
4104,S,117,Hualapai Tribe Water Rights Settlement Act of 2022,https://api.congress.gov/v3/bill/117/s/4104?format=xml,"Sen. Sinema, Kyrsten [D-AZ]",Native Americans,https://www.congress.gov/117/bills/s4104/BILLS-117s4104enr.xml,"<p><b>Hualapai Tribe Water Rights Settlement Act of </b><strong>2022</strong></p> <p>This act authorizes, ratifies, and confirms the Hualapai Tribe water rights settlement agreement negotiated between the tribe, the United States, Arizona, and others, thus satisfying the tribe's claims for groundwater and surface water rights to water in Arizona, including the Verde River, the Bill Williams River, and the Colorado River. </p> <p>The act outlines the tribe's water rights, including the right to divert, use, and store 4,000 acre-feet of agricultural priority water of the Central Arizona Project that was previously allocated to nontribal agricultural entities, but retained by the Department of the Interior for reallocation to tribes in Arizona pursuant to the Central Arizona Project Settlement Act of 2004. Interior must reallocate this priority water to the tribe, firm through 2107 a specified amount of the water, and enter into a water delivery contract with the tribe.</p> <p>The act directs Interior to establish the Hualapai Water Trust Fund Account. Amounts deposited in the trust fund account shall be made available to the tribe for specified purposes, including to construct the Hualapai Water Project. The project must be designed to divert, treat, and convey up to 3,414 acre-feet of water per year from the Colorado River for municipal, commercial, and industrial uses on the Hualapai Reservation.</p> <p>Additionally, the act establishes in the Treasury the Hualapai Water Settlement Implementation Fund Account. Amounts in this account must be used to carry out groundwater monitoring and an estimate for groundwater withdrawals in the Truxton Basin outside the boundaries of the tribe's reservation.</p> <p>The act adds certain land in Arizona to the tribe's reservation and also authorizes Interior to take specified land into trust for the benefit of the tribe. In the future, land located outside the reservation may only be taken into trust through an act of Congress.</p> <p>The act outlines (1) waivers, releases, and retentions of claims by the tribe and the United States under the settlement agreement; and (2) a limited waiver of sovereign immunity by the United States and the tribe with respect to certain claims.</p> <p>The act repeals the settlement agreement (except for provisions related to land added to the reservation and land taken into trust) if Interior does not publish by April 15, 2029, a statement of findings that specified conditions have been fulfilled (including that Interior has executed the required water delivery contract).</p>",['Indian Affairs Committee'],"['Arizona', 'Federal-Indian relations', 'Government trust funds', 'Indian claims', 'Indian lands and resources rights', 'Infrastructure development', 'Lakes and rivers', 'Land transfers', 'Water use and supply']","['https://api.congress.gov/v3/bill/117/hr/5118?format=xml', 'https://api.congress.gov/v3/bill/117/hr/7633?format=xml']"
3905,S,117,Preventing Organizational Conflicts of Interest in Federal Acquisition Act,https://api.congress.gov/v3/bill/117/s/3905?format=xml,"Sen. Peters, Gary C. [D-MI]",Government Operations and Politics,https://www.congress.gov/117/bills/s3905/BILLS-117s3905enr.xml,"<p><strong>Preventing Organizational Conflicts of Interest in Federal Acquisition Act</strong></p> <p>This act addresses conflicts of interest in federal acquisitions.</p> <p>Specifically, the act directs the Federal Acquisition Regulatory Council to revise the Federal Acquisition Regulation (FAR) to provide and update</p> <ul> <li>definitions related to specific types of organizational conflicts of interest;</li> <li>definitions, guidance, and illustrative examples related to relationships of contractors with public, private, domestic, and foreign entities that may cause contract support to be subject to potential organizational conflicts; and</li> <li>illustrative examples of situations related to the potential organizational conflicts identified.</li> </ul> <p>Further, the council must revise the FAR to</p> <ul> <li>provide executive agencies with solicitation provisions and contract clauses to avoid or mitigate organizational conflicts, for agency use as needed, that require contractors to disclose information relevant to potential organizational conflicts and limit future contracting with respect to potential conflicts with the work to be performed under awarded contracts;</li> <li>allow agencies to tailor such solicitation provisions and contract clauses as necessary to address risks associated with conflicts of interest and other considerations that may be unique to the agency; </li> <li>require agencies to establish or update agency conflict of interest procedures to implement the revisions to the FAR made under this act and periodically assess and update such procedures as needed to address agency-specific conflict issues; and </li> <li>update FAR procedures to permit contracting officers to take into consideration professional standards and procedures to prevent organizational conflicts of interest to which an offeror or contractor is subject. </li> </ul>",['Homeland Security and Governmental Affairs Committee'],"['Administrative law and regulatory procedures', 'Government ethics and transparency, public corruption', 'Government information and archives', 'Public contracts and procurement']","['https://api.congress.gov/v3/bill/117/hres/1518?format=xml', 'https://api.congress.gov/v3/bill/117/hr/7602?format=xml']"
3522,S,117,Ukraine Democracy Defense Lend-Lease Act of 2022,https://api.congress.gov/v3/bill/117/s/3522?format=xml,"Sen. Cornyn, John [R-TX]",International Affairs,https://www.congress.gov/117/bills/s3522/BILLS-117s3522enr.xml,"<p><strong>Ukraine Democracy Defense Lend-Lease Act of 2022 </strong></p> <p>This bill temporarily waives certain requirements related to the President's authority to lend or lease defense articles if the defense articles are intended for Ukraine's government or the governments of other Eastern European countries affected by Russia's invasion of Ukraine. </p> <p>For FY2022 and FY2023, an agreement to lend or lease defense articles under this bill shall not be subject to certain requirements and provisions that typically apply to such lend-lease agreements, including a requirement that generally prohibits a loan or lease period from exceeding five years.</p> <p>The President must establish expedited procedures to ensure the timely delivery of defense articles loaned or leased to Ukraine under this bill.</p>",['Foreign Relations Committee'],"['Alliances', 'Collective security', 'Computer security and identity theft', 'Conflicts and wars', 'Congressional oversight', 'Europe', 'Foreign aid and international relief', 'Infrastructure development', 'Military assistance, sales, and agreements', 'Military operations and strategy', 'Russia', 'Sovereignty, recognition, national governance and status', 'Subversive activities', 'Ukraine']","['https://api.congress.gov/v3/bill/117/hres/1065?format=xml', 'https://api.congress.gov/v3/bill/117/hr/7611?format=xml']"
1687,S,117,Small Business Cyber Training Act of 2022,https://api.congress.gov/v3/bill/117/s/1687?format=xml,"Sen. Rubio, Marco [R-FL]",Commerce,https://www.congress.gov/117/bills/s1687/BILLS-117s1687enr.xml,<p><strong>Small Business Cyber Training Act of 2022</strong></p> <p>This bill requires the Small Business Administration to establish a program for certifying at least 5 or 10% of the total number of employees of a small business development center to provide cybersecurity planning assistance to small businesses.</p>,['Small Business and Entrepreneurship Committee'],"['Business education', 'Computer security and identity theft', 'Licensing and registrations', 'Small business']","['https://api.congress.gov/v3/bill/117/hr/4515?format=xml', 'https://api.congress.gov/v3/bill/117/hres/1508?format=xml', 'https://api.congress.gov/v3/bill/117/hr/4350?format=xml']"
1941,S,117,MAPS Act of 2021,https://api.congress.gov/v3/bill/117/s/1941?format=xml,"Sen. Peters, Gary C. [D-MI]",Government Operations and Politics,https://www.congress.gov/117/bills/s1941/BILLS-117s1941enr.xml,"<p><strong>Metropolitan Areas Protection and Standardization Act of 2021 or the MAPS Act of 2021</strong></p> <p>This act limits the automatic application of, and directs the Office of Management and Budget (OMB) to provide information about, changes to the standards for designating a core-based statistical area (CBSA). The standards are used to delineate metropolitan and micropolitan areas for statistical purposes.</p> <p>Specifically, any change to the standards of CBSA delineations (1) shall not apply automatically for any nonstatistical use by any domestic assistance program, and (2) shall apply for such uses only if a relevant agency determines that the change supports the purposes of the program and is in the public interest and the change is adopted through rulemaking procedures.</p> <p>The OMB must ensure that any change to the standards of CBSA delineations</p> <ul> <li>are accompanied by a public report that explains the scientific basis, criteria, and methodology for such change and the opinions of experts in statistics and demographics who were consulted regarding the change;</li> <li>are not influenced by any nonstatistical considerations; and </li> <li>are not applied automatically for any nonstatistical use by any domestic assistance program.</li> </ul> <p>Additionally, the OMB must collect information on the uses of CBSA delineations by domestic assistance programs for purposes including prime recipient and subrecipient eligibility for, and distribution of, any federal service, benefit, or funding.</p> <p>The Government Accountability Office must submit a report assessing the information collected by the OMB pursuant to this act.</p>",['Homeland Security and Governmental Affairs Committee'],"['Census and government statistics', 'Government studies and investigations', 'Public participation and lobbying', 'Regional and metropolitan planning']",[]
