Number,Type,Congress,Title,Url
91,HJRES,113,"Department of Defense Survivor Benefits Continuing Appropriations Resolution, 2014",https://api.congress.gov/v3/bill/113/hjres/91?format=xml
3043,HR,113,Tribal General Welfare Exclusion Act of 2014,https://api.congress.gov/v3/bill/113/hr/3043?format=xml
527,HR,113,Helium Stewardship Act of 2013,https://api.congress.gov/v3/bill/113/hr/527?format=xml
4681,HR,113,Intelligence Authorization Act for Fiscal Year 2015,https://api.congress.gov/v3/bill/113/hr/4681?format=xml
2759,S,113,"A bill to release the City of St. Clair, Missouri, from all restrictions, conditions, and limitations on the use, encumbrance, conveyance, and closure of the St. Clair Regional Airport.",https://api.congress.gov/v3/bill/113/s/2759?format=xml
2673,S,113,United States-Israel Strategic Partnership Act of 2014,https://api.congress.gov/v3/bill/113/s/2673?format=xml
2651,S,113,DHS OIG Mandates Revision Act of 2014,https://api.congress.gov/v3/bill/113/s/2651?format=xml
2583,S,113,E-LABEL Act,https://api.congress.gov/v3/bill/113/s/2583?format=xml
2539,S,113,Traumatic Brain Injury Reauthorization Act of 2014,https://api.congress.gov/v3/bill/113/s/2539?format=xml
3008,S,113,Foreclosure Relief and Extension for Servicemembers Act of 2014,https://api.congress.gov/v3/bill/113/s/3008?format=xml
2917,S,113,Adding Ebola to the FDA Priority Review Voucher Program Act,https://api.congress.gov/v3/bill/113/s/2917?format=xml
2921,S,113,"A bill to designate the community based outpatient clinic of the Department of Veterans Affairs located at 310 Home Boulevard in Galesburg, Illinois, as the ""Lane A. Evans VA Community Based Outpatient Clinic"".",https://api.congress.gov/v3/bill/113/s/2921?format=xml
2141,S,113,Sunscreen Innovation Act,https://api.congress.gov/v3/bill/113/s/2141?format=xml
2086,S,113,Reliable Home Heating Act,https://api.congress.gov/v3/bill/113/s/2086?format=xml
2040,S,113,Blackfoot River Land Exchange Act of 2014,https://api.congress.gov/v3/bill/113/s/2040?format=xml
1934,S,113,Clifford P. Hansen Federal Courthouse Conveyance Act,https://api.congress.gov/v3/bill/113/s/1934?format=xml
1901,S,113,Support for United States-Republic of Korea Civil Nuclear Cooperation Act,https://api.congress.gov/v3/bill/113/s/1901?format=xml
1799,S,113,Victims of Child Abuse Act Reauthorization Act of 2013,https://api.congress.gov/v3/bill/113/s/1799?format=xml
1691,S,113,Border Patrol Agent Pay Reform Act of 2014,https://api.congress.gov/v3/bill/113/s/1691?format=xml
1683,S,113,"A bill to provide for the transfer of naval vessels to certain foreign recipients, and for other purposes.",https://api.congress.gov/v3/bill/113/s/1683?format=xml
1681,S,113,Intelligence Authorization Act for Fiscal Year 2014,https://api.congress.gov/v3/bill/113/s/1681?format=xml
1614,S,113,Accuracy for Adoptees Act,https://api.congress.gov/v3/bill/113/s/1614?format=xml
1603,S,113,Gun Lake Trust Land Reaffirmation Act,https://api.congress.gov/v3/bill/113/s/1603?format=xml
1557,S,113,Children's Hospital GME Support Reauthorization Act of 2013,https://api.congress.gov/v3/bill/113/s/1557?format=xml
1545,S,113,PEPFAR Stewardship and Oversight Act of 2013,https://api.congress.gov/v3/bill/113/s/1545?format=xml
1512,S,113,"A bill to designate the facility of the United States Postal Service located at 1335 Jefferson Road in Rochester, New York, as the ""Specialist Theodore Matthew Glende Post Office"".",https://api.congress.gov/v3/bill/113/s/1512?format=xml
1499,S,113,"A bill to designate the facility of the United States Postal Service located at 278 Main Street in Chadron, Nebraska, as the ""Sergeant Cory Mracek Memorial Post Office"".",https://api.congress.gov/v3/bill/113/s/1499?format=xml
1474,S,113,"A bill to amend the Violence Against Women Reauthorization Act of 2013 to repeal a special rule for the State of Alaska, and for other purposes.",https://api.congress.gov/v3/bill/113/s/1474?format=xml
1471,S,113,Alicia Dawn Koehl Respect for National Cemeteries Act,https://api.congress.gov/v3/bill/113/s/1471?format=xml
1434,S,113,"A bill to designate the Junction City Community-Based Outpatient Clinic located at 715 Southwind Drive, Junction City, Kansas, as the Lieutenant General Richard J. Seitz Community-Based Outpatient Clinic.",https://api.congress.gov/v3/bill/113/s/1434?format=xml
1353,S,113,Cybersecurity Enhancement Act of 2014,https://api.congress.gov/v3/bill/113/s/1353?format=xml
1348,S,113,Congressional Award Program Reauthorization Act of 2013,https://api.congress.gov/v3/bill/113/s/1348?format=xml
2154,S,113,Emergency Medical Services for Children Reauthorization Act of 2014,https://api.congress.gov/v3/bill/113/s/2154?format=xml
2521,S,113,Federal Information Security Modernization Act of 2014,https://api.congress.gov/v3/bill/113/s/2521?format=xml
2519,S,113,National Cybersecurity Protection Act of 2014,https://api.congress.gov/v3/bill/113/s/2519?format=xml
2338,S,113,United States Anti-Doping Agency Reauthorization Act,https://api.congress.gov/v3/bill/113/s/2338?format=xml
2270,S,113,Insurance Capital Standards Clarification Act of 2014,https://api.congress.gov/v3/bill/113/s/2270?format=xml
2258,S,113,Veterans' Compensation Cost-of-Living Adjustment Act of 2014,https://api.congress.gov/v3/bill/113/s/2258?format=xml
2195,S,113,A bill to deny admission to the United States to any representative to the United Nations who has been found to have been engaged in espionage activities or a terrorist activity against the United States and poses a threat to United States national security interests.,https://api.congress.gov/v3/bill/113/s/2195?format=xml
2183,S,113,"A bill entitled ""United States International Programming to Ukraine and Neighboring Regions"".",https://api.congress.gov/v3/bill/113/s/2183?format=xml
2142,S,113,Venezuela Defense of Human Rights and Civil Society Act of 2014,https://api.congress.gov/v3/bill/113/s/2142?format=xml
2444,S,113,Howard Coble Coast Guard and Maritime Transportation Act of 2014,https://api.congress.gov/v3/bill/113/s/2444?format=xml
1254,S,113,Harmful Algal Bloom and Hypoxia Research and Control Amendments Act of 2014,https://api.congress.gov/v3/bill/113/s/1254?format=xml
1104,S,113,Assessing Progress in Haiti Act of 2014,https://api.congress.gov/v3/bill/113/s/1104?format=xml
1093,S,113,"A bill to designate the facility of the United States Postal Service located at 130 Caldwell Drive in Hazlehurst, Mississippi, as the ""First Lieutenant Alvin Chester Cockrell, Jr. Post Office Building"".",https://api.congress.gov/v3/bill/113/s/1093?format=xml
1086,S,113,Child Care and Development Block Grant Act of 2014,https://api.congress.gov/v3/bill/113/s/1086?format=xml
1044,S,113,World War II Memorial Prayer Act of 2013,https://api.congress.gov/v3/bill/113/s/1044?format=xml
1000,S,113,Chesapeake Bay Accountability and Recovery Act of 2014,https://api.congress.gov/v3/bill/113/s/1000?format=xml
994,S,113,DATA Act,https://api.congress.gov/v3/bill/113/s/994?format=xml
982,S,113,Freedom to Fish Act,https://api.congress.gov/v3/bill/113/s/982?format=xml
898,S,113,"Albuquerque, New Mexico, Federal Land Conveyance Act of 2013",https://api.congress.gov/v3/bill/113/s/898?format=xml
893,S,113,Veterans' Compensation Cost-of-Living Adjustment Act of 2013,https://api.congress.gov/v3/bill/113/s/893?format=xml
252,S,113,PREEMIE Reauthorization Act,https://api.congress.gov/v3/bill/113/s/252?format=xml
885,S,113,"A bill to designate the facility of the United States Postal Service located at 35 Park Street in Danville, Vermont, as the ""Thaddeus Stevens Post Office"".",https://api.congress.gov/v3/bill/113/s/885?format=xml
793,S,113,Organization of American States Revitalization and Reform Act of 2013,https://api.congress.gov/v3/bill/113/s/793?format=xml
716,S,113,A bill to modify the requirements under the STOCK Act regarding online access to certain financial disclosure statements and related forms.,https://api.congress.gov/v3/bill/113/s/716?format=xml
653,S,113,Near East and South Central Asia Religious Freedom Act of 2014,https://api.congress.gov/v3/bill/113/s/653?format=xml
622,S,113,Animal Drug and Animal Generic Drug User Fee Reauthorization Act of 2013,https://api.congress.gov/v3/bill/113/s/622?format=xml
611,S,113,Sandia Pueblo Settlement Technical Amendment Act,https://api.congress.gov/v3/bill/113/s/611?format=xml
540,S,113,Temporary Debt Limit Extension Act,https://api.congress.gov/v3/bill/113/s/540?format=xml
517,S,113,Unlocking Consumer Choice and Wireless Competition Act,https://api.congress.gov/v3/bill/113/s/517?format=xml
476,S,113,A bill to amend the Chesapeake and Ohio Canal Development Act to extend to the Chesapeake and Ohio Canal National Historical Park Commission.,https://api.congress.gov/v3/bill/113/s/476?format=xml
459,S,113,Minuteman Missile National Historic Site Boundary Modification Act,https://api.congress.gov/v3/bill/113/s/459?format=xml
404,S,113,Green Mountain Lookout Heritage Protection Act,https://api.congress.gov/v3/bill/113/s/404?format=xml
330,S,113,HIV Organ Policy Equity Act,https://api.congress.gov/v3/bill/113/s/330?format=xml
309,S,113,A bill to award a Congressional Gold Medal to the World War II members of the Civil Air Patrol.,https://api.congress.gov/v3/bill/113/s/309?format=xml
304,S,113,Natchez Trace Parkway Land Conveyance Act of 2013,https://api.congress.gov/v3/bill/113/s/304?format=xml
276,S,113,A bill to reinstate and extend the deadline for commencement of construction of a hydroelectric project involving the American Falls Reservoir.,https://api.congress.gov/v3/bill/113/s/276?format=xml
256,S,113,"A bill to amend Public Law 93-435 with respect to the Northern Mariana Islands, providing parity with Guam, the Virgin Islands, and American Samoa.",https://api.congress.gov/v3/bill/113/s/256?format=xml
5739,HR,113,No Social Security for Nazis Act,https://api.congress.gov/v3/bill/113/hr/5739?format=xml
5185,HR,113,EARLY Act Reauthorization of 2014,https://api.congress.gov/v3/bill/113/hr/5185?format=xml
5195,HR,113,"To provide additional visas for the Afghan Special Immigrant Visa Program, and for other purposes.",https://api.congress.gov/v3/bill/113/hr/5195?format=xml
5331,HR,113,"To designate the facility of the United States Postal Service located at 73839 Gorgonio Drive in Twentynine Palms, California, as the ""Colonel M.J. 'Mac' Dube, USMC Post Office Building"".",https://api.congress.gov/v3/bill/113/hr/5331?format=xml
