Number,Type,Congress,Title,Url,Summary,Committees,Topics,Related Bills,Sponsor,Subject,Text Access
4,HR,119,Rescissions Act of 2025,https://api.congress.gov/v3/bill/119/hr/4?format=xml,No summary available,"['Budget Committee', 'Appropriations Committee', 'Appropriations Committee']","['Abortion', 'Adult education and literacy', 'Advanced technology and technological innovations', 'Africa', 'African Development Foundation', 'Agricultural education', 'Agricultural research', 'Area studies and international education', 'Asia', 'Broadcasting, cable, digital technologies', 'Caribbean area', 'Child health', 'Climate change and greenhouse gases', 'Coal', 'Corporation for Public Broadcasting', 'Credit and credit markets', 'Department of State', 'Diplomacy, foreign officials, Americans abroad', 'Disaster relief and insurance']","https://api.congress.gov/v3/bill/119/hres/499?format=xml, https://api.congress.gov/v3/bill/119/s/2067?format=xml","Rep. Scalise, Steve [R-LA-1]",Economics and Public Finance,https://www.congress.gov/119/bills/hr4/BILLS-119hr4enr.xml
1596,S,119,Jocelyn Nungaray National Wildlife Refuge Act,https://api.congress.gov/v3/bill/119/s/1596?format=xml,No summary available,['Environment and Public Works Committee'],"['Texas', 'Wilderness and natural areas, wildlife refuges, wild rivers, habitats', 'Wildlife conservation and habitat protection']",https://api.congress.gov/v3/bill/119/hr/3179?format=xml,"Sen. Cornyn, John [R-TX]",Public Lands and Natural Resources,https://www.congress.gov/119/bills/s1596/BILLS-119s1596enr.xml
517,HR,119,Filing Relief for Natural Disasters Act,https://api.congress.gov/v3/bill/119/hr/517?format=xml,No summary available,"['Finance Committee', 'Ways and Means Committee']","['District of Columbia', 'Internal Revenue Service (IRS)', 'Natural disasters', 'State and local government operations', 'Tax administration and collection, taxpayers', 'U.S. territories and protectorates']",https://api.congress.gov/v3/bill/119/s/132?format=xml,"Rep. Kustoff, David [R-TN-8]",Taxation,https://www.congress.gov/119/bills/hr517/BILLS-119hr517enr.xml
2215,HR,119,Salem Maritime National Historical Park Redesignation and Boundary Study Act,https://api.congress.gov/v3/bill/119/hr/2215?format=xml,No summary available,"['Energy and Natural Resources Committee', 'Natural Resources Committee']","['Congressional oversight', 'Historic sites and heritage areas', 'Massachusetts', 'Parks, recreation areas, trails']",https://api.congress.gov/v3/bill/119/s/1161?format=xml,"Rep. Moulton, Seth [D-MA-6]",Public Lands and Natural Resources,https://www.congress.gov/119/bills/hr2215/BILLS-119hr2215enr.xml
618,HR,119,Apex Area Technical Corrections Act,https://api.congress.gov/v3/bill/119/hr/618?format=xml,No summary available,['Natural Resources Committee'],"['Environmental assessment, monitoring, research', 'Land transfers', 'Nevada']",,"Rep. Horsford, Steven [D-NV-4]",Public Lands and Natural Resources,https://www.congress.gov/119/bills/hr618/BILLS-119hr618enr.xml
331,S,119,HALT Fentanyl Act,https://api.congress.gov/v3/bill/119/s/331?format=xml,No summary available,['Judiciary Committee'],"['Administrative law and regulatory procedures', 'Department of Justice', 'Drug trafficking and controlled substances', 'Licensing and registrations', 'Research administration and funding']",https://api.congress.gov/v3/bill/119/hres/489?format=xml,"Sen. Cassidy, Bill [R-LA]",Crime and Law Enforcement,https://www.congress.gov/119/bills/s331/BILLS-119s331enr.xml
1582,S,119,GENIUS Act,https://api.congress.gov/v3/bill/119/s/1582?format=xml,No summary available,[],"['Accounting and auditing', 'Administrative law and regulatory procedures', 'Bank accounts, deposits, capital', 'Banking and financial institutions regulation', 'Bankruptcy', 'Business records', 'Civil actions and liability', 'Congressional oversight', 'Currency', 'Department of the Treasury', 'Digital media', 'Financial crises and stabilization', 'Financial services and investments', 'Fraud offenses and financial crimes', 'Government studies and investigations', 'Interest, dividends, interest rates', 'International monetary system and foreign exchange', 'Judicial procedure and administration', 'Judicial review and appeals']",https://api.congress.gov/v3/bill/119/hres/580?format=xml,"Sen. Hagerty, Bill [R-TN]",Finance and Financial Sector,https://www.congress.gov/119/bills/s1582/BILLS-119s1582enr.xml
