Number,Type,Congress,Title,Url,Sponsor,Subject,Text Access
2617,HR,117,"Consolidated Appropriations Act, 2023",https://api.congress.gov/v3/bill/117/hr/2617?format=xml,"Rep. Connolly, Gerald E. [D-VA-11]",Economics and Public Finance,https://www.congress.gov/117/bills/hr2617/BILLS-117hr2617enr.xml
6833,HR,117,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023",https://api.congress.gov/v3/bill/117/hr/6833?format=xml,"Rep. Craig, Angie [D-MN-2]",Economics and Public Finance,https://www.congress.gov/117/bills/hr6833/BILLS-117hr6833enr.xml
1437,HR,117,"Further Continuing Appropriations and Extensions Act, 2023",https://api.congress.gov/v3/bill/117/hr/1437?format=xml,"Rep. Sherrill, Mikie [D-NJ-11]",Economics and Public Finance,https://www.congress.gov/117/bills/hr1437/BILLS-117hr1437enr.xml
5376,HR,117,Inflation Reduction Act of 2022,https://api.congress.gov/v3/bill/117/hr/5376?format=xml,"Rep. Yarmuth, John A. [D-KY-3]",Economics and Public Finance,https://www.congress.gov/117/bills/hr5376/BILLS-117hr5376enr.xml
1319,HR,117,American Rescue Plan Act of 2021,https://api.congress.gov/v3/bill/117/hr/1319?format=xml,"Rep. Yarmuth, John A. [D-KY-3]",Economics and Public Finance,https://www.congress.gov/117/bills/hr1319/BILLS-117hr1319enr.xml
5305,HR,117,Extending Government Funding and Delivering Emergency Assistance Act,https://api.congress.gov/v3/bill/117/hr/5305?format=xml,"Rep. DeLauro, Rosa L. [D-CT-3]",Economics and Public Finance,https://www.congress.gov/117/bills/hr5305/BILLS-117hr5305enr.xml
75,HJRES,117,"Extension of Continuing Appropriations Act, 2022",https://api.congress.gov/v3/bill/117/hjres/75?format=xml,"Rep. DeLauro, Rosa L. [D-CT-3]",Economics and Public Finance,https://www.congress.gov/117/bills/hjres75/BILLS-117hjres75enr.xml
6617,HR,117,Further Additional Extending Government Funding Act,https://api.congress.gov/v3/bill/117/hr/6617?format=xml,"Rep. DeLauro, Rosa L. [D-CT-3]",Economics and Public Finance,https://www.congress.gov/117/bills/hr6617/BILLS-117hr6617enr.xml
6119,HR,117,Further Extending Government Funding Act,https://api.congress.gov/v3/bill/117/hr/6119?format=xml,"Rep. DeLauro, Rosa L. [D-CT-3]",Economics and Public Finance,https://www.congress.gov/117/bills/hr6119/BILLS-117hr6119enr.xml
2471,HR,117,"Consolidated Appropriations Act, 2022",https://api.congress.gov/v3/bill/117/hr/2471?format=xml,"Rep. Jeffries, Hakeem S. [D-NY-8]",Economics and Public Finance,https://www.congress.gov/117/bills/hr2471/BILLS-117hr2471enr.xml
1301,S,117,Promoting Physical Activity for Americans Act,https://api.congress.gov/v3/bill/117/s/1301?format=xml,"Sen. Brown, Sherrod [D-OH]",Economics and Public Finance,https://www.congress.gov/117/bills/s1301/BILLS-117s1301enr.xml
33,SJRES,117,A joint resolution relating to increasing the debt limit.,https://api.congress.gov/v3/bill/117/sjres/33?format=xml,"Sen. Schumer, Charles E. [D-NY]",Economics and Public Finance,https://www.congress.gov/117/bills/sjres33/BILLS-117sjres33enr.xml
272,S,117,Congressional Budget Justification Transparency Act of 2021,https://api.congress.gov/v3/bill/117/s/272?format=xml,"Sen. Peters, Gary C. [D-MI]",Economics and Public Finance,https://www.congress.gov/117/bills/s272/BILLS-117s272enr.xml
10545,HR,118,"American Relief Act, 2025",https://api.congress.gov/v3/bill/118/hr/10545?format=xml,"Rep. Cole, Tom [R-OK-4]",Economics and Public Finance,https://www.congress.gov/118/bills/hr10545/BILLS-118hr10545enr.xml
7032,HR,118,Congressional Budget Office Data Sharing Act,https://api.congress.gov/v3/bill/118/hr/7032?format=xml,"Rep. Boyle, Brendan F. [D-PA-2]",Economics and Public Finance,https://www.congress.gov/118/bills/hr7032/BILLS-118hr7032enr.xml
1549,S,118,Congressional Budget Office Data Access Act,https://api.congress.gov/v3/bill/118/s/1549?format=xml,"Sen. Peters, Gary C. [D-MI]",Economics and Public Finance,https://www.congress.gov/118/bills/s1549/BILLS-118s1549enr.xml
9747,HR,118,"Continuing Appropriations and Extensions Act, 2025",https://api.congress.gov/v3/bill/118/hr/9747?format=xml,"Rep. Cole, Tom [R-OK-4]",Economics and Public Finance,https://www.congress.gov/118/bills/hr9747/BILLS-118hr9747enr.xml
