Number,Type,Congress,Title,Url,Sponsor,Subject,Text Access
2472,HR,117,"To designate the facility of the United States Postal Service located at 82422 Cadiz Jewett Road in Cadiz, Ohio, as the ""John Armor Bingham Post Office"".",https://api.congress.gov/v3/bill/117/hr/2472?format=xml,"Rep. Johnson, Bill [R-OH-6]",Government Operations and Politics,https://www.congress.gov/117/bills/hr2472/BILLS-117hr2472enr.xml
5066,S,117,Don Young Recognition Act,https://api.congress.gov/v3/bill/117/s/5066?format=xml,"Sen. Murkowski, Lisa [R-AK]",Government Operations and Politics,https://www.congress.gov/117/bills/s5066/BILLS-117s5066enr.xml
3905,S,117,Preventing Organizational Conflicts of Interest in Federal Acquisition Act,https://api.congress.gov/v3/bill/117/s/3905?format=xml,"Sen. Peters, Gary C. [D-MI]",Government Operations and Politics,https://www.congress.gov/117/bills/s3905/BILLS-117s3905enr.xml
1941,S,117,MAPS Act of 2021,https://api.congress.gov/v3/bill/117/s/1941?format=xml,"Sen. Peters, Gary C. [D-MI]",Government Operations and Politics,https://www.congress.gov/117/bills/s1941/BILLS-117s1941enr.xml
6386,HR,117,"To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the ""Veterans of Iraq and Afghanistan Memorial Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/6386?format=xml,"Rep. Krishnamoorthi, Raja [D-IL-8]",Government Operations and Politics,https://www.congress.gov/117/bills/hr6386/BILLS-117hr6386enr.xml
233,S,117,Donna M. Doss Memorial Act of 2021,https://api.congress.gov/v3/bill/117/s/233?format=xml,"Sen. Cornyn, John [R-TX]",Government Operations and Politics,https://www.congress.gov/117/bills/s233/BILLS-117s233enr.xml
3470,S,117,End Human Trafficking in Government Contracts Act of 2022,https://api.congress.gov/v3/bill/117/s/3470?format=xml,"Sen. Lankford, James [R-OK]",Government Operations and Politics,https://www.congress.gov/117/bills/s3470/BILLS-117s3470enr.xml
3969,S,117,PAVA Program Inclusion Act,https://api.congress.gov/v3/bill/117/s/3969?format=xml,"Sen. Lujan, Ben Ray [D-NM]",Government Operations and Politics,https://www.congress.gov/117/bills/s3969/BILLS-117s3969enr.xml
4411,S,117,"A bill to designate the facility of the United States Postal Service located at 5302 Galveston Road in Houston, Texas, as the ""Vanessa Guillen Post Office Building"".",https://api.congress.gov/v3/bill/117/s/4411?format=xml,"Sen. Cruz, Ted [R-TX]",Government Operations and Politics,https://www.congress.gov/117/bills/s4411/BILLS-117s4411enr.xml
8203,HR,117,"To designate the facility of the United States Postal Service located at 651 Business Interstate Highway 35 North Suite 420 in New Braunfels, Texas, as the ""Bob Krueger Post Office"".",https://api.congress.gov/v3/bill/117/hr/8203?format=xml,"Rep. Doggett, Lloyd [D-TX-35]",Government Operations and Politics,https://www.congress.gov/117/bills/hr8203/BILLS-117hr8203enr.xml
