Number,Type,Congress,Title,Url,Sponsor,Subject,Text Access
3580,S,117,Ocean Shipping Reform Act of 2022,https://api.congress.gov/v3/bill/117/s/3580?format=xml,"Sen. Klobuchar, Amy [D-MN]",Transportation and Public Works,https://www.congress.gov/117/bills/s3580/BILLS-117s3580enr.xml
1082,HR,117,Sami's Law,https://api.congress.gov/v3/bill/117/hr/1082?format=xml,"Rep. Smith, Christopher H. [R-NJ-4]",Transportation and Public Works,https://www.congress.gov/117/bills/hr1082/BILLS-117hr1082enr.xml
3308,S,117,Colorado River Indian Tribes Water Resiliency Act of 2022,https://api.congress.gov/v3/bill/117/s/3308?format=xml,"Sen. Kelly, Mark [D-AZ]",Transportation and Public Works,https://www.congress.gov/117/bills/s3308/BILLS-117s3308enr.xml
7181,HR,117,Human Trafficking Prevention Act of 2022,https://api.congress.gov/v3/bill/117/hr/7181?format=xml,"Rep. Jeffries, Hakeem S. [D-NY-8]",Transportation and Public Works,https://www.congress.gov/117/bills/hr7181/BILLS-117hr7181enr.xml
3662,S,117,Preventing PFAS Runoff at Airports Act,https://api.congress.gov/v3/bill/117/s/3662?format=xml,"Sen. Peters, Gary C. [D-MI]",Transportation and Public Works,https://www.congress.gov/117/bills/s3662/BILLS-117s3662enr.xml
516,S,117,Advanced Air Mobility Coordination and Leadership Act,https://api.congress.gov/v3/bill/117/s/516?format=xml,"Sen. Moran, Jerry [R-KS]",Transportation and Public Works,https://www.congress.gov/117/bills/s516/BILLS-117s516enr.xml
468,HR,117,Expedited Delivery of Airport Infrastructure Act of 2021,https://api.congress.gov/v3/bill/117/hr/468?format=xml,"Rep. Graves, Sam [R-MO-6]",Transportation and Public Works,https://www.congress.gov/117/bills/hr468/BILLS-117hr468enr.xml
3684,HR,117,Infrastructure Investment and Jobs Act,https://api.congress.gov/v3/bill/117/hr/3684?format=xml,"Rep. DeFazio, Peter A. [D-OR-4]",Transportation and Public Works,https://www.congress.gov/117/bills/hr3684/BILLS-117hr3684enr.xml
5763,HR,117,Further Surface Transportation Extension Act of 2021,https://api.congress.gov/v3/bill/117/hr/5763?format=xml,"Rep. DeFazio, Peter A. [D-OR-4]",Transportation and Public Works,https://www.congress.gov/117/bills/hr5763/BILLS-117hr5763enr.xml
5434,HR,117,Surface Transportation Extension Act of 2021,https://api.congress.gov/v3/bill/117/hr/5434?format=xml,"Rep. DeFazio, Peter A. [D-OR-4]",Transportation and Public Works,https://www.congress.gov/117/bills/hr5434/BILLS-117hr5434enr.xml
