division_number,division_header,title_number,title_header,subtitle,part,section_number,section_header,text
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,"(1) (1) in subsection (a), by adding at the end the following: (11) (11) Compliance evaluation (A) (A) In general Not later than 1 year after the date of enactment of this paragraph, the Administrator shall— (i) (i) evaluate, based on the compliance data found in the Safe Drinking Water Information System of the Administrator, the compliance of community water systems and wastewater systems with environmental, health, and safety requirements under this title, including water quality sampling, testing, and reporting requirements; and (ii) (ii) submit to Congress a report describing trends seen as a result of the evaluation under clause (i), including trends that demonstrate how the characteristics of community water systems and wastewater systems correlate to trends in compliance or noncompliance with the requirements described in that clause. (B) (B) Requirement To the extent practicable, in carrying out subparagraph (A), the Administrator shall determine whether, in aggregate, community water systems and wastewater systems maintain asset management plans. ;."
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,"(11) (11) Compliance evaluation (A) (A) In general Not later than 1 year after the date of enactment of this paragraph, the Administrator shall— (i) (i) evaluate, based on the compliance data found in the Safe Drinking Water Information System of the Administrator, the compliance of community water systems and wastewater systems with environmental, health, and safety requirements under this title, including water quality sampling, testing, and reporting requirements; and (ii) (ii) submit to Congress a report describing trends seen as a result of the evaluation under clause (i), including trends that demonstrate how the characteristics of community water systems and wastewater systems correlate to trends in compliance or noncompliance with the requirements described in that clause. (B) (B) Requirement To the extent practicable, in carrying out subparagraph (A), the Administrator shall determine whether, in aggregate, community water systems and wastewater systems maintain asset management plans.."
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,"(A) (A) In general Not later than 1 year after the date of enactment of this paragraph, the Administrator shall— (i) (i) evaluate, based on the compliance data found in the Safe Drinking Water Information System of the Administrator, the compliance of community water systems and wastewater systems with environmental, health, and safety requirements under this title, including water quality sampling, testing, and reporting requirements; and (ii) (ii) submit to Congress a report describing trends seen as a result of the evaluation under clause (i), including trends that demonstrate how the characteristics of community water systems and wastewater systems correlate to trends in compliance or noncompliance with the requirements described in that clause.."
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,"(i) (i) evaluate, based on the compliance data found in the Safe Drinking Water Information System of the Administrator, the compliance of community water systems and wastewater systems with environmental, health, and safety requirements under this title, including water quality sampling, testing, and reporting requirements; and."
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,"(ii) (ii) submit to Congress a report describing trends seen as a result of the evaluation under clause (i), including trends that demonstrate how the characteristics of community water systems and wastewater systems correlate to trends in compliance or noncompliance with the requirements described in that clause.."
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,"(B) (B) Requirement To the extent practicable, in carrying out subparagraph (A), the Administrator shall determine whether, in aggregate, community water systems and wastewater systems maintain asset management plans.."
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,"(2) (2) in subsection (b), in the first sentence— (A) (A) by inserting (including an emergency situation resulting from a cybersecurity event) after emergency situation ; and (B) (B) by inserting , including a threat to public health resulting from contaminants, such as, but not limited to, heightened exposure to lead in drinking water after public health ;."
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,(A) (A) by inserting (including an emergency situation resulting from a cybersecurity event) after emergency situation ; and.
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,"(B) (B) by inserting , including a threat to public health resulting from contaminants, such as, but not limited to, heightened exposure to lead in drinking water after public health ;."
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,"(3) (3) by striking subsection (d) and inserting the following: (d) (d) Authorization of appropriations There is authorized to be appropriated to carry out subsection (b) $35,000,000 for each of fiscal years 2022 through 2026. ;."
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,"(d) (d) Authorization of appropriations There is authorized to be appropriated to carry out subsection (b) $35,000,000 for each of fiscal years 2022 through 2026.."
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,"(4) (4) in subsection (e), by striking paragraph (5) and inserting the following: (5) (5) Authorization of appropriations There is authorized to be appropriated to the Administrator to carry out this subsection $15,000,000 for each of fiscal years 2022 through 2026. ;."
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,"(5) (5) Authorization of appropriations There is authorized to be appropriated to the Administrator to carry out this subsection $15,000,000 for each of fiscal years 2022 through 2026.."
E,Drinking water and wastewater infrastructure,I,Drinking water,,,50101.,Technical assistance and grants for emergencies affecting public water systems,(5) (5) by redesignating subsection (f) as subsection (g); and.
