Number,Type,Congress,Title,Url,Sponsor,Subject,Text Access
164,S,117,Advancing Education on Biosimilars Act of 2021,https://api.congress.gov/v3/bill/117/s/164?format=xml,"Sen. Hassan, Margaret Wood [D-NH]",Health,https://www.congress.gov/117/bills/s164/BILLS-117s164enr.xml
7132,HR,117,Safe Connections Act of 2022,https://api.congress.gov/v3/bill/117/hr/7132?format=xml,"Rep. Kuster, Ann M. [D-NH-2]","Science, Technology, Communications",https://www.congress.gov/117/bills/hr7132/BILLS-117hr7132enr.xml
1868,HR,117,"To prevent across-the-board direct spending cuts, and for other purposes.",https://api.congress.gov/v3/bill/117/hr/1868?format=xml,"Rep. Yarmuth, John A. [D-KY-3]",Health,https://www.congress.gov/117/bills/hr1868/BILLS-117hr1868enr.xml
2472,HR,117,"To designate the facility of the United States Postal Service located at 82422 Cadiz Jewett Road in Cadiz, Ohio, as the ""John Armor Bingham Post Office"".",https://api.congress.gov/v3/bill/117/hr/2472?format=xml,"Rep. Johnson, Bill [R-OH-6]",Government Operations and Politics,https://www.congress.gov/117/bills/hr2472/BILLS-117hr2472enr.xml
5066,S,117,Don Young Recognition Act,https://api.congress.gov/v3/bill/117/s/5066?format=xml,"Sen. Murkowski, Lisa [R-AK]",Government Operations and Politics,https://www.congress.gov/117/bills/s5066/BILLS-117s5066enr.xml
4104,S,117,Hualapai Tribe Water Rights Settlement Act of 2022,https://api.congress.gov/v3/bill/117/s/4104?format=xml,"Sen. Sinema, Kyrsten [D-AZ]",Native Americans,https://www.congress.gov/117/bills/s4104/BILLS-117s4104enr.xml
3905,S,117,Preventing Organizational Conflicts of Interest in Federal Acquisition Act,https://api.congress.gov/v3/bill/117/s/3905?format=xml,"Sen. Peters, Gary C. [D-MI]",Government Operations and Politics,https://www.congress.gov/117/bills/s3905/BILLS-117s3905enr.xml
3522,S,117,Ukraine Democracy Defense Lend-Lease Act of 2022,https://api.congress.gov/v3/bill/117/s/3522?format=xml,"Sen. Cornyn, John [R-TX]",International Affairs,https://www.congress.gov/117/bills/s3522/BILLS-117s3522enr.xml
1687,S,117,Small Business Cyber Training Act of 2022,https://api.congress.gov/v3/bill/117/s/1687?format=xml,"Sen. Rubio, Marco [R-FL]",Commerce,https://www.congress.gov/117/bills/s1687/BILLS-117s1687enr.xml
1941,S,117,MAPS Act of 2021,https://api.congress.gov/v3/bill/117/s/1941?format=xml,"Sen. Peters, Gary C. [D-MI]",Government Operations and Politics,https://www.congress.gov/117/bills/s1941/BILLS-117s1941enr.xml
558,S,117,FLOODS Act,https://api.congress.gov/v3/bill/117/s/558?format=xml,"Sen. Wicker, Roger F. [R-MS]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/s558/BILLS-117s558enr.xml
452,S,117,Willie O'Ree Congressional Gold Medal Act,https://api.congress.gov/v3/bill/117/s/452?format=xml,"Sen. Stabenow, Debbie [D-MI]",Sports and Recreation,https://www.congress.gov/117/bills/s452/BILLS-117s452enr.xml
3113,HR,117,Modernizing Access to Our Public Land Act,https://api.congress.gov/v3/bill/117/hr/3113?format=xml,"Rep. Moore, Blake D. [R-UT-1]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/hr3113/BILLS-117hr3113enr.xml
1652,HR,117,VOCA Fix to Sustain the Crime Victims Fund Act of 2021,https://api.congress.gov/v3/bill/117/hr/1652?format=xml,"Rep. Nadler, Jerrold [D-NY-10]",Crime and Law Enforcement,https://www.congress.gov/117/bills/hr1652/BILLS-117hr1652enr.xml
6386,HR,117,"To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the ""Veterans of Iraq and Afghanistan Memorial Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/6386?format=xml,"Rep. Krishnamoorthi, Raja [D-IL-8]",Government Operations and Politics,https://www.congress.gov/117/bills/hr6386/BILLS-117hr6386enr.xml
5085,HR,117,Emergency Repatriation Assistance for Returning Americans Act,https://api.congress.gov/v3/bill/117/hr/5085?format=xml,"Rep. Neal, Richard E. [D-MA-1]",Social Welfare,https://www.congress.gov/117/bills/hr5085/BILLS-117hr5085enr.xml
796,S,117,Protecting Moms Who Served Act of 2021,https://api.congress.gov/v3/bill/117/s/796?format=xml,"Sen. Duckworth, Tammy [D-IL]",Armed Forces and National Security,https://www.congress.gov/117/bills/s796/BILLS-117s796enr.xml
7352,HR,117,PPP and Bank Fraud Enforcement Harmonization Act of 2022,https://api.congress.gov/v3/bill/117/hr/7352?format=xml,"Rep. Velazquez, Nydia M. [D-NY-7]",Commerce,https://www.congress.gov/117/bills/hr7352/BILLS-117hr7352enr.xml
